,From,Date,Subject,Content_Conversation,Content_Forwarded
10,Henry Yau,"Fri 12/04, 22:25","inquiry - with description, part number and price + lead time + date code","<!-- .rps_ba8c p.x_MsoNormal, .rps_ba8c li.x_MsoNormal, .rps_ba8c div.x_MsoNormal
{ margin: 0in; margin-bottom: .0001pt; font-size: 11.0pt; font-family: ""Calibri"",sans-serif; }
.rps_ba8c span.x_MsoHyperlink
{ color: #0563C1; text-decoration: underline; }
.rps_ba8c span.x_MsoHyperlinkFollowed
{ color: #954F72; text-decoration: underline; }
.rps_ba8c p.x_msonormal0, .rps_ba8c li.x_msonormal0, .rps_ba8c div.x_msonormal0
{ margin-right: 0in; margin-left: 0in; font-size: 11.0pt; font-family: ""Calibri"",sans-serif; }
.rps_ba8c span.x_EmailStyle18
{ font-family: ""Calibri"",sans-serif; color: windowtext; }
.rps_ba8c .x_MsoChpDefault
{ font-family: ""Calibri"",sans-serif; }
 -->



 
SLC 4Gbit TSOP48 K9F4G08U0F-SCB0000 $0.97 or tp 50K 1day 
SLC 8Gbit CYPRESS TSOP48 S34ML08G101TFI200 $3.60 DC17+ 2days

MV88 KMFN60012M-B214003 7.75 2days 
MV1616 KMQE60013M-B318 T03 $12.95 2days 
MV3216 KMQD60013M-B318T01 Bid booking 3-5days
MV3232 KMRD60014M-B512001 Bid 5k around 
MX12848 KM3V6001CM-B705 $53.0 

LPDDR3 16G K4E6E304EC-EGCG000 $11.5 本周五或下周一 
LPDDR3 32G K4EBE304EC-EGCG000 $25.0 5days 
LPDDR4 8G K4F8E304HB-MGCJ Bid 11k多1lot 1day
LPDDR4 16G K4F6E3D4HB-MHCJT2V Bid 1,077pcs 

EMMC 4G KLM4G1FETE-B041001 $1.815 moq:20K 
EMMC 16G KLMAG1JETD-B041 $3.33 2240PCS 周四或周五
EMMC 64G KLMCG2KETM-B041007 $12.5 have par 1day
EMMC 64G KLMCG2KETM-B041TY0 $12.5 3days 

DDR3 K4B2G1646F-BYMA $1.03 moq:10K 
DDR3 K4B2G1646F-BCNB $1.05 1day
DDR3 K4B4G1646D-BCK0 $2.25 MOQ:10k 4-5days 
DDR3 K4B4G1646E-BCMA $1.70 1day 
DDR3 K4B4G1646E-BCNB Bid 
DDR3 K4B4G1646E-BYMA Bid 
DDR3 K4B8G1646D-MCK0TCV $6.80 1day
DDR4 K4A8G165WB-BCRC $4.8 
DDR4 K4A8G085WB-BCRC $4.78 MOQ:10k 
DDR4 K4A8G085WC-BCRC Bid 
DDR4 K4A8G045WB-BCRC0S3 $5.80 or tp 4days 
DDR4 K4AAG085WB-MCPB000 $9.20 10k 2days 

GDDR5 256*32-8G K4G80325FB-HC25000 $5.30 1day 
GDDR5 256*32-6G MT51J256M32HF-60:A $3.93 3day-4days",
11,Henry Yau,"Fri 12/04, 22:24",inquiry - quantity brand and part number,"<!-- .rps_ba8c p.x_MsoNormal, .rps_ba8c li.x_MsoNormal, .rps_ba8c div.x_MsoNormal
{ margin: 0in; margin-bottom: .0001pt; font-size: 11.0pt; font-family: ""Calibri"",sans-serif; }
.rps_ba8c span.x_MsoHyperlink
{ color: #0563C1; text-decoration: underline; }
.rps_ba8c span.x_MsoHyperlinkFollowed
{ color: #954F72; text-decoration: underline; }
.rps_ba8c span.x_EmailStyle17
{ font-family: ""Calibri"",sans-serif; color: windowtext; }
.rps_ba8c .x_MsoChpDefault
{ font-family: ""Calibri"",sans-serif; }
 -->



6,000.00 MICRON MT41K64M16TW-107 IT:J
2,000.00 MICRON MT47H64M16NF-25E IT:M
2,500.00 MICRON MT25QL02GCBB8E12-0SIT
4,500.00 MICRON MT48LC32M16A2P-75 IT:C
4,000.00 MICRON MT41K256M16HA-125IT:E
6,000.00 MICRON MT41J64M16JT-15E IT:G
2,000.00 MICRON MT41K128M16JT-125 IT:K
2,000.00 MICRON MT47H64M16HR-3 IT:G
2,000.00 MICRON MT47H64M16HR-3 IT:H
4,000.00 MICRON MT41K256M16TW-107 IT:P",
12,Henry Yau,"Fri 12/04, 22:23",inquiry - two items on the same row,"<!-- .rps_ba8c p.x_MsoNormal, .rps_ba8c li.x_MsoNormal, .rps_ba8c div.x_MsoNormal
{ margin: 0in; margin-bottom: .0001pt; font-size: 11.0pt; font-family: ""Calibri"",sans-serif; }
.rps_ba8c span.x_MsoHyperlink
{ color: #0563C1; text-decoration: underline; }
.rps_ba8c span.x_MsoHyperlinkFollowed
{ color: #954F72; text-decoration: underline; }
.rps_ba8c span.x_EmailStyle17
{ font-family: ""Calibri"",sans-serif; color: windowtext; }
.rps_ba8c .x_MsoChpDefault
{ font-family: ""Calibri"",sans-serif; }
 -->



XC7Z020-1CLG400C or XC7Z020-1CLG400I XILINX 2000pcs",
13,Henry Yau,"Fri 12/04, 22:22",Web Inquiry,Our web site capture inquiry and notify ourselves,"From: WebInquiry 
Sent: Tuesday, April 9, 2019 9:31 PM
To: WebInquiry <webinquiry@nxelectronics.com>
Subject: Web Inquiry


 




General Inquiry




Submit Time:


2019-04-09 21:30:47




Company:


Beijing Hongrui Zhiyuan Electronic Co.,Ltd




Contact Person:


David Huang




Address:





Country:





Telephone:


010-57728508




Fax:





Category:


Memory




Email:


david.huang@hongruizhiyuan.com




Message:


P/N : MT40A1G8WE-083E-IT

Qty : 580pcs"
14,Henry Yau,"Fri 12/04, 22:18",requirement,"<!-- .rps_ba8c p.x_MsoNormal, .rps_ba8c li.x_MsoNormal, .rps_ba8c div.x_MsoNormal
{ margin: 0in; margin-bottom: .0001pt; text-align: justify; text-justify: inter-ideograph; font-size: 10.5pt; font-family: ""Calibri"",sans-serif; }
.rps_ba8c span.x_MsoHyperlink
{ color: #0563C1; text-decoration: underline; }
.rps_ba8c span.x_MsoHyperlinkFollowed
{ color: #954F72; text-decoration: underline; }
.rps_ba8c span.x_EmailStyle17
{ font-family: ""Calibri"",sans-serif; color: windowtext; }
.rps_ba8c .x_MsoChpDefault
{ font-family: ""Calibri"",sans-serif; }
 -->



 
CPU items requirements
 
Core i3-9320   qty 30pcs
Core i3-9320T  qty 28pcs
Core i3-9300   qty 45pcs
Core i3-9100T  qty 35pcs
Pentium Gold G5620  qty 45pcs
Pentium Gold G5600F  qty 50pcs
Pentium Gold G5600T  qty 55pcs
Pentium Gold G5420T   qty 40pcs
Pentium Gold G5420   qty 50pcs
Celeron G4950  qty 55pcs
Celeron G4930T  qty 55pcs
Celeron G4930   qty 55pcs
 
**這幾天回復都可以，客人說可以等",
15,Henry Yau,"Fri 12/04, 22:12","some format we used, may have Chinese Characters, but it would be later stage to sort it out","<!-- .rps_ba8c p.x_MsoNormal, .rps_ba8c li.x_MsoNormal, .rps_ba8c div.x_MsoNormal
{ margin: 0in; margin-bottom: .0001pt; font-size: 10.0pt; font-family: ""Calibri"",sans-serif; }
.rps_ba8c span.x_MsoHyperlink
{ color: #0563C1; text-decoration: underline; }
.rps_ba8c span.x_MsoHyperlinkFollowed
{ color: #954F72; text-decoration: underline; }
.rps_ba8c span.x_EmailStyle17
{ font-family: ""Calibri"",sans-serif; color: windowtext; }
.rps_ba8c .x_MsoChpDefault
{ font-family: ""Calibri"",sans-serif; }
 -->







 



Item



Qty



Unit Price




 


Description


Part Number


Brand



PCS



RMB







1


M.A.C 魅可時尚唇膏 #COCKNEY 3g


773602153640


M.A.C 魅可



31 



98.00 





2


M.A.C 魅可時尚唇膏 #LADY BUG 3g


773602033805


M.A.C 魅可



60 



98.00 





3


M.A.C 魅可時尚唇膏 #RUBY WOO 3g


773602040605


M.A.C 魅可



101 



98.00 





4


M.A.C 魅可時尚唇膏 #CHILI 3g


773602048663


M.A.C 魅可



110 



98.00 





5


M.A.C 魅可時尚唇膏 #DARE YOU 3g


773602166541


M.A.C 魅可



330 



98.00 





6


M.A.C 魅可時尚唇膏 魅可時尚唇膏 #MOCHA 3g


773602048496


M.A.C 魅可



239 



98.00 





7


M.A.C 魅可時尚唇膏 魅可時尚唇膏 #DIVA 3g


-


M.A.C 魅可



110 



98.00 





8


M.A.C 魅可時尚唇膏 #SUSHI KISS 3g


-


M.A.C 魅可



8 



98.00",
16,Henry Yau,"Fri 12/04, 22:07",Inquiry,"<!-- .rps_ba8c p.x_MsoNormal, .rps_ba8c li.x_MsoNormal, .rps_ba8c div.x_MsoNormal
{ margin: 0in; margin-bottom: .0001pt; font-size: 12.0pt; font-family: ""PMingLiU"",serif; }
.rps_ba8c span.x_MsoHyperlink
{ color: #0563C1; text-decoration: underline; }
.rps_ba8c span.x_MsoHyperlinkFollowed
{ color: #954F72; text-decoration: underline; }
.rps_ba8c span.x_EmailStyle17
{ font-family: ""Calibri"",sans-serif; color: windowtext; }
.rps_ba8c .x_MsoChpDefault
{ font-family: ""Calibri"",sans-serif; }
 -->



Part number, prices and brand name are mentioned
INQ 
LM4040CYM3-2.5  500  MICROCHIP
ATSAMA5D31A-CU      500   MICROCHIP
ATmega16A-AU     500  MICROCHIP
MT29F1G08ABAEAWP:E      500  MICRON
MT47H64M16NF-25E:M   1000       MICRON
RN4871-V/RM118  500  MICROCHIP
MCP73871-1CCI/ML      500   MICROCHIP
MCP100T-270I/TT  500  MICROCHIP",
17,Henry Yau,"Fri 12/04, 22:06",[VIP Computer Centre Limited] require (11 Apr 2019),Only the number of pieces required are stated,"From: Rhoda To 
Sent: Thursday, April 11, 2019 5:53 PM
To: require <require@nxelectronics.com>
Subject: [require] - [VIP Computer Centre Limited] require (11 Apr 2019)
Intel
BX80677G4560 INTEL PENTIUM G4560 1151 RETAIL 200

BX80677I37100 INTEL CORE I3-7100 1151 RETAIL 20

BX80677I57400 INTEL CORE I5-7400 1151 RETAIL 20

BX80677I57500 INTEL CORE I5-7500 1151 RETAIL 20

BX80677I57600 INTEL CORE I5-7600 1151 RETAIL 20

BX80677I77700 INTEL CORE I7-7700 1151 RETAIL 100

BX80677I77700K INTEL CORE I7-7700K 1151 RETAIL 100

BX80684I38100 INTEL CORE I3-8100 1151 RETAIL 100

BX80684I38350K INTEL CORE I3-8350K 1151 RETAIL 50

BX80684I58400 INTEL CORE I5-8400 1151 RETAIL 200

BX80684I58500 INTEL CORE I5-8500 1151 RETAIL 20

BX80684I58600 INTEL CORE I5-8600 1151 RETAIL 30

BX80684I58600K INTEL CORE I5-8600K 1151 RETAIL 50

BX80684I59400F INTEL CORE I5-9400F 1151 RETAIL 200

BX80684I59600K INTEL CORE I5-9600K 1151 RETAIL 50

BX80684I78086K INTEL CORE I7-8086K 1151 RETAIL 10

BX80684I78700 INTEL CORE I7-8700 1151 RETAIL 50

BX80684I78700K INTEL CORE I7-8700K 1151 RETAIL 50

BX80684I79700K INTEL CORE I7-9700K 1151 RETAIL 100

BX80684I99900K INTEL CORE I9-9900K 1151 RETAIL 20


HDD
ST10000VN0004 SEAGATE IRONWOLF 3.5 10TB SATA3 NAS HDD 10

ST1000DM010 SEAGATE BARRACUDA 3.5 1TB SATA3 HDD 500

ST1000LM048 SEAGATE BARRACUDA 2.5 1TB SATA3 HDD 20

ST1000VX005 SEAGATE SKYHAWK 3.5 1TB SATA3 HDD 100

ST2000DM008 SEAGATE BARRACUDA 3.5 2TB SATA3 HDD 1000

ST2000LM015 SEAGATE BARRACUDA 2.5 2TB SATA3 HDD 10

ST2000VX008 SEAGATE SKYHAWK 3.5 2TB SATA3 HDD 40

ST3000DM007 SEAGATE BARRACUDA 3.5 3TB SATA3 HDD 25

ST4000DM004 SEAGATE BARRACUDA 3.5 4TB SATA3 HDD 50

ST4000VN008 SEAGATE IRONWOLF 3.5 4TB SATA3 NAS HDD 100

ST4000VX007 SEAGATE SKYHAWK 3.5 4TB SATA3 HDD 20

ST6000DM003 SEAGATE BARRACUDA 3.5 6TB SATA3 HDD 10

ST8000DM004 SEAGATE BARRACUDA 3.5 8TB SATA3 HDD 5

ST8000VN0022 SEAGATE IRONWOLF 3.5 8TB SATA3 NAS HDD 20

STSHX-M101TCBM MAXTOR EXT 2.5 1TB M3 PORTABLE BLK 600

STSHX-M201TCBM MAXTOR EXT 2.5 2TB M3 PORTABLE BLK 240

STSHX-M401TCBM MAXTOR EXT 2.5 4TB M3 PORTABLE BLK 60


Crucial
CT16G4DFD824A CRUCIAL DDR4 2400 16GB 50

CT16G4DFD8266 CRUCIAL DDR4 2666 16GB 50

CT4G4DFS824A CRUCIAL DDR4 2400 4GB 100

CT4G4SFS824A CRUCIAL DDR4 2400 SO-DIMM 4GB 50

CT8G4DFS824A CRUCIAL DDR4 2400 8GB 100

CT8G4DFS8266 CRUCIAL DDR4 2666 8GB 50

CT8G4SFS824A CRUCIAL DDR4 2400 SO-DIMM 8GB 100

CT8G4SFS8266 CRUCIAL DDR4 2666 SO-DIMM 8GB 20


SSD
CT120BX500SSD1 CRUCIAL SSD BX500 SATA 120GB 50

CT240BX500SSD1 CRUCIAL SSD BX500 SATA 240GB 50

CT250MX500SSD1 CRUCIAL SSD MX500 SATA 250GB 50

CT480BX500SSD1 CRUCIAL SSD BX500 SATA 480GB 50

CT500MX500SSD1 CRUCIAL SSD MX500 SATA 500GB 50

MZ-76E1T0B/EU SAMSUNG SSD 860 EVO SATA 1TB 120

MZ-76E250B/EU SAMSUNG SSD 860 EVO SATA 250GB 240

MZ-76E500B/EU SAMSUNG SSD 860 EVO SATA 500GB 240

WDS500G2B0A WD SSD BLUE SATA 500GB 200"
18,Henry Yau,"Fri 12/04, 22:04",typical offer would be like this,"<!-- .rps_ba8c p.x_MsoNormal, .rps_ba8c li.x_MsoNormal, .rps_ba8c div.x_MsoNormal
{ margin: 0in; margin-bottom: .0001pt; font-size: 11.0pt; font-family: ""Calibri"",sans-serif; }
.rps_ba8c span.x_MsoHyperlink
{ color: #0563C1; text-decoration: underline; }
.rps_ba8c span.x_MsoHyperlinkFollowed
{ color: #954F72; text-decoration: underline; }
.rps_ba8c span.x_EmailStyle17
{ font-family: ""Calibri"",sans-serif; color: windowtext; }
.rps_ba8c .x_MsoChpDefault
{ font-family: ""Calibri"",sans-serif; }
 -->



Description         Brand    Datecode            Qty         Unit Price / US$
W631GG8KB-15                WINBOND / 華邦             16+         128,000   bid      
DDR3 SDRAM / 128MX8 DDR3 / WBGA / 667MHz / 0°C to 95°C (TC) / RoHS / 1.5 V / TRAY / 2420 PCS",
19,Henry Yau,"Fri 12/04, 22:02",Offer from US,"<!-- .rps_ba8c p.x_MsoNormal, .rps_ba8c li.x_MsoNormal, .rps_ba8c div.x_MsoNormal
{ margin: 0in; margin-bottom: .0001pt; font-size: 11.0pt; font-family: ""Calibri"",sans-serif; }
.rps_ba8c span.x_MsoHyperlink
{ color: #0563C1; text-decoration: underline; }
.rps_ba8c span.x_MsoHyperlinkFollowed
{ color: #954F72; text-decoration: underline; }
.rps_ba8c span.x_EmailStyle17
{ font-family: ""Calibri"",sans-serif; color: windowtext; }
.rps_ba8c .x_MsoChpDefault
{ font-family: ""Calibri"",sans-serif; }
 -->



OFFERS,
 




Type


COO


Part no


Qty


 




 


 


 


 


 




4GB RDIMM


KR


HMT351V7TMR4A-H9D7-C


        282 


24.00




 


 


 


 


 




8GB RDIMM


KR


HMT41GR7DFR4A-PBT4


          94 


58.0 




 


 


 


 


 




16GB RDIMM


KR


HMT82GV7BMR4C-RDT8


          21 


84.0 




 


 


 


 




KR


HMT42GR7BFR4A-H9T4


        250


89.0 




KR


HMT42GR7DFR4A-H9T4


          18 


89.0 




KR


HMT42GR7BFR4A-RDT8


            1 


89.0 




KR


HMT42GR7BFR4C-RDT8


          66 


89.0 




KR


HMT42GR7DFR4C-RDT8


            3 


89.0 




 


 


 


 


 




32GB RDIMM


KR


HMT84GR7BMR4C-H9T8


        141 


162.0 




KR


HMT84GR7BMR4A-PBD8


          25 


162.0 




KR


HMT84GR7BMR4A-H9T8


          19 


162.0 




KR


HMT84GR7BMR4A-H9T4


          16 


162.0 




KR


HMT84GL7DMR4C-RDM2


            5 


162.0 




 


 


 


 


 




4GB ECC DIMM


KR


HMT451U7BFR8C-PBT0


          76 


38.0 




KR


HMT451U7DFR8A-PBT0


       666 


38.0 




 


 


 


 




 


 


 


 


 




8GB ECC DIMM


KR


HMT41GU7BFR8C-PBT0


        313 


52.0 




 


 


 


 


 




8GB ECC SODIMM


KR


HMT41GA7BFR8A-PBT0


          69 


52.0 




KR


HMT41GA7DFR8A-PBT0


        234 


52.0 




 


 


 


 


 




8GB SODIMM


KR


HMT41GS6BFR8A-PBN0


316 


42.0 




 


 


 


 


 




4GB UDIMM


KR


HMT451U6DFR8A-PBN0


          62 


22.0 




 


 


 


 


 




D4 8GB SODIMM


KR


HMA81GS6AFR8N-UHN0


        750 


40.0 




 


 


 


 


 




 
 
 
OFFER FROM us",
20,Henry Yau,"Fri 12/04, 21:55","[require]  - [TERABAY Co ., Ltd] requirement (12 Apr 2019)",,"From: Lisa Lao 
Sent: Friday, April 12, 2019 10:09 AM
To: require <require@nxelectronics.com>
Subject: [require] - [TERABAY Co ., Ltd] requirement (12 Apr 2019)
 
MT29F1G01ABAFDWB-IT:F 4K    -  NO TARGET , JUST REQUIRE THE PARTS AND QUANTITY


MT29F2G01ABAGDWB-IT:G 4K"
21,Henry Yau,"Fri 12/04, 21:54",[offer],"<!-- .rps_ba8c p.x_MsoNormal, .rps_ba8c li.x_MsoNormal, .rps_ba8c div.x_MsoNormal
{ margin: 0in; margin-bottom: .0001pt; font-size: 11.0pt; font-family: ""Calibri"",sans-serif; }
.rps_ba8c span.x_MsoHyperlink
{ color: #0563C1; text-decoration: underline; }
.rps_ba8c span.x_MsoHyperlinkFollowed
{ color: #954F72; text-decoration: underline; }
.rps_ba8c p.x_msonormal0, .rps_ba8c li.x_msonormal0, .rps_ba8c div.x_msonormal0
{ margin-right: 0in; margin-left: 0in; font-size: 11.0pt; font-family: ""Calibri"",sans-serif; }
.rps_ba8c span.x_EmailStyle18
{ font-family: ""Calibri"",sans-serif; color: windowtext; }
.rps_ba8c .x_MsoChpDefault
{ font-family: ""Calibri"",sans-serif; }
 -->



THESE ARE INTEL CPU: ***** PRICE PER UNIT
 
Xeon E5-2630v3　　2pcs $180,Pull A
Gold 6144 2pcs*2340
Silver 4116 2pcs*705
E5-2643v4 2pcs*1280
E5-2620v4 2pcs*310
Platinum 8168 8pcs*4260

E5-2620V3 6pcs*180/Pull A
E3-1225V5 5pcs*200

6136 1pcs *2035
2695v2 6pcs 
2690v4 2pcs *1640
2603v4 10pcs*118/Pull A",
22,Henry Yau,"Fri 12/04, 21:52",A STANDARD FORAMT WILL BE LIKE,"<!-- .rps_ba8c p.x_MsoNormal, .rps_ba8c li.x_MsoNormal, .rps_ba8c div.x_MsoNormal
{ margin: 0in; margin-bottom: .0001pt; text-align: justify; text-justify: inter-ideograph; font-size: 10.5pt; font-family: ""Arial"",sans-serif; }
.rps_ba8c span.x_MsoHyperlink
{ color: #0563C1; text-decoration: underline; }
.rps_ba8c span.x_MsoHyperlinkFollowed
{ color: #954F72; text-decoration: underline; }
.rps_ba8c span.x_EmailStyle17
{ font-family: ""Calibri"",sans-serif; color: windowtext; }
.rps_ba8c .x_MsoChpDefault
{ font-family: ""Calibri"",sans-serif; }
 -->







　


Item


Brand


Q'ty


T/P


Delivery




　


DDR4


　


　


　


　




1


H5AN8G8NCJR-VKC


SKhynix


19,200 


US$4.55 


Today




　


1Gx8 DDR4 2666


　


　


　


　




　


　


　


　


　


　




2


H5AN8G8NMFR-UHC


SKhynix


19,200 


US$4.25 


Today




　


1Gx8 DDR4 2400


　


　


　


　




　


　


　


　


　


　




3


MT40A1G8SA-075:E


Micron


30,000 


US$4.30 


Today




　


1Gx8 DDR4 2666


　


　


　


　




　


　


　


　


　


　




4




　


　


　


　




　


　


　


　


　


　




　


DDR3


　


　


　


　




5


H5TC4G83DFR-RDA


SKhynix


14,000 


US$2.00 


Today




　


512Mx8 DDR3 1866


　


　


　


　




　


　


　


　


　


　




6


　


　


　


　


　




　


　


　


　


　


　




　


　


　


　


　


　




7


H5TC4G63CFR-PBA


SKhynix


48,000 


US$2.50 


Today




　


256Mx16 DDR3 1600


　


　


　


　




　


　


　


　


　


　




8


MT41K512M8DA-107:P TR Taiwan


Micron


6,000 


US$1.60 


Today




　


512Mx8 DDR3 1866


　


　


　


　




　


DDR2


　


　


　


　




9


EDE2108AEBG-8E-F-D


Elpida


19,200 


US$2.80 


Today




　


256Mx8 DDR2 800 D/C2014


　


　


　


　




　


DIMM


　


　


　


　




10


　


　


　


　


　




　


　


　


　


　


　




　


                  SSD


　


　


　


　




11


　


　


　


　


　




　


　


　


　


　


　




　


　


　


　


　


　




12


　


　


　


　


　




　


　


　


　


　


　




　


　


　


　


　


　




13


　


　


　


　


　




　


　


　


　


　


　




　


　


　


　


　


　




14


　


　


　


　


　




　


　


　


　


　


　




　


　


　


　


　


　




15


　


　


　


　


　




　


　


　


　


　


　




　


　


　


　


　


　




16


　


　


　


　


　




　


　


　


　


　


　




　


　


　


　


　


　




17


　


　


　


　


　




　


　


　


　


　


　




　


　


　


　


　


　




18


　


　


　


　


　




　


　


　


　


　


　




　


　


　


　


　


　




19


　


　


　


　


　




　


　


　


　


　


　




　


　


　


　


　


　




20


　


　


　


　


　




　


　


　


　


　


　




　


　


　


　


　


　




If you have any interest in our offer, please feel free to contact me. Thank you for your 




attention. Awaiting your reply.






　




　










　




B. Regards",
23,Henry Yau,"Fri 12/04, 21:50",MISSING PRICE - OPEN FOR BID,"<!-- .rps_ba8c p.x_MsoNormal, .rps_ba8c li.x_MsoNormal, .rps_ba8c div.x_MsoNormal
{ margin: 0in; margin-bottom: .0001pt; font-size: 11.0pt; font-family: ""Calibri"",sans-serif; }
.rps_ba8c span.x_MsoHyperlink
{ color: #0563C1; text-decoration: underline; }
.rps_ba8c span.x_MsoHyperlinkFollowed
{ color: #954F72; text-decoration: underline; }
.rps_ba8c span.x_EmailStyle17
{ font-family: ""Calibri"",sans-serif; color: windowtext; }
.rps_ba8c .x_MsoChpDefault
{ font-family: ""Calibri"",sans-serif; }
 -->



Description         Brand    Datecode            Qty         Unit       Price / US$
K4T51163QQ-BPE70CV   SAMSUNG / 三星             17+         91,662 -
DDR2 SDRAM / 32MX16 DDR2 / LOW POWER / FBGA / DDR2-800 / (-40°C TO +85°C)A1 / RoHS / 1.8 V / TRAY / EOL",
24,Henry Yau,"Fri 12/04, 18:20",model price - today's transaction,"<!-- .rps_ba8c p.x_MsoNormal, .rps_ba8c li.x_MsoNormal, .rps_ba8c div.x_MsoNormal
{ margin: 0in; margin-bottom: .0001pt; font-size: 12.0pt; }
.rps_ba8c span.x_MsoHyperlink
{ color: blue; text-decoration: underline; }
.rps_ba8c span.x_MsoHyperlinkFollowed
{ color: purple; text-decoration: underline; }
.rps_ba8c span.x_EmailStyle17
{ font-family: ""Calibri"",sans-serif; color: windowtext; }
.rps_ba8c .x_MsoChpDefault
{ font-family: ""Calibri"",sans-serif; }
 -->







 DDR3 256Mx16 PC1600, Micron


 MT41K256M16HA-125:E  


2,000 


2.20",
25,Henry Yau,"Fri 12/04, 18:18",- [深圳市晟源電子有限公司] offers - 12/04/2019,"<!-- .rps_ba8c p.x_MsoNormal, .rps_ba8c li.x_MsoNormal, .rps_ba8c div.x_MsoNormal
{ margin: 0in; margin-bottom: .0001pt; font-size: 11.0pt; font-family: ""Calibri"",sans-serif; }
.rps_ba8c span.x_MsoHyperlink
{ color: blue; text-decoration: underline; }
.rps_ba8c span.x_MsoHyperlinkFollowed
{ color: purple; text-decoration: underline; }
.rps_ba8c p.x_msonormal0, .rps_ba8c li.x_msonormal0, .rps_ba8c div.x_msonormal0
{ margin-right: 0in; margin-left: 0in; font-size: 11.0pt; font-family: ""Calibri"",sans-serif; }
.rps_ba8c span.x_EmailStyle18
{ font-family: ""Calibri"",sans-serif; color: windowtext; }
.rps_ba8c .x_MsoChpDefault
{ font-family: ""Calibri"",sans-serif; }
 -->



Part number : product TransFlash : price in USD : lead time
 
SANDISK TF A1 100M/S中文包 
SDSDQUNC-016G-ZN3MN US$2.43
SDSDQUNC-032G-ZN3MN US$3.51
SDSDQUNC-064G-ZN3MN US$6.85
SDSDQUNC-128G-ZN3MN US$13.66
SDSDQUNC-200G-ZN3MN US$27.83
SDSDQUNC-256G-ZN3MN US$37.65
SDSDQUNC-400G-ZN3MN US$67.56
SANDISK CHIINESE PACKING USB 1-2DAYS 
SDCZ73-016G-Z46 US$3.27
SDCZ73-032G-Z46 US$4.60
SDCZ73-064G-Z46 US$8.33
SDCZ73-128G-Z46 US$16.52
SDCZ73-256G-Z46 US$37.50
SDCZ600-016G-Z35 US$3.01
SDCZ600-032G-Z35 US$4.17
SDCZ600-064G-Z35 US$7.57
SDCZ600-128G-Z35 US$15.40
SDDD3-032G-Z46 US$4.91
SDDD3-064G-Z46 US$8.62
SDDD3-128G-Z46 US$17.41
SDDDC2-032G-Z46 US$6.25
SDDDC2-064G-Z46 US$9.82
SDDDC2-128G-Z46 US$17.41
IX40N 64G 中文包 US$17.26
XI40N 128G中文包 US$27.01",
26,Henry Yau,"Fri 12/04, 18:11",test from Henry,"<!-- .rps_ba8c p.x_MsoNormal, .rps_ba8c li.x_MsoNormal, .rps_ba8c div.x_MsoNormal
{ margin: 0in; margin-bottom: .0001pt; font-size: 11.0pt; font-family: ""Calibri"",sans-serif; }
.rps_ba8c span.x_MsoHyperlink
{ color: blue; text-decoration: underline; }
.rps_ba8c span.x_MsoHyperlinkFollowed
{ color: purple; text-decoration: underline; }
.rps_ba8c span.x_EmailStyle17
{ font-family: ""Calibri"",sans-serif; color: windowtext; }
.rps_ba8c .x_MsoChpDefault
{ font-family: ""Calibri"",sans-serif; }
 -->



Test 6:10",
